index,prob,rank,percentile
114989,0.73203388,516,0.086
571318,0.731919005,517,0.086166667
65505,0.731785028,518,0.086333333
557073,0.731769639,519,0.0865
411961,0.731716273,520,0.086666667
434776,0.731612791,521,0.086833333
2888,0.731588028,522,0.087
504564,0.731319665,523,0.087166667
444891,0.730965227,524,0.087333333
138886,0.730862834,525,0.0875
53310,0.730819533,526,0.087666667
69603,0.730733623,527,0.087833333
283489,0.730715746,528,0.088
548449,0.730611945,529,0.088166667
53872,0.730411155,530,0.088333333
245558,0.729983345,531,0.0885
199989,0.729897365,532,0.088666667
139245,0.729797329,533,0.088833333
35421,0.729522205,534,0.089
528117,0.729286426,535,0.089166667
431961,0.729265576,536,0.089333333
403891,0.72922668,537,0.0895
544068,0.729175224,538,0.089666667
251262,0.729020161,539,0.089833333
377325,0.728970273,540,0.09
79854,0.728794407,541,0.090166667
444213,0.728727627,542,0.090333333
101440,0.728674956,543,0.0905
311835,0.728206847,544,0.090666667
207675,0.726628982,545,0.090833333
370143,0.726537503,546,0.091
306411,0.726219754,547,0.091166667
7397,0.726035195,548,0.091333333
236240,0.725576021,549,0.0915
554046,0.72543244,550,0.091666667
82923,0.72543161,551,0.091833333
556988,0.725401469,552,0.092
145691,0.725238802,553,0.092166667
497666,0.724871684,554,0.092333333
146618,0.724591624,555,0.0925
330814,0.72341392,556,0.092666667
115579,0.723410467,557,0.092833333
233644,0.723395604,558,0.093
155071,0.723123995,559,0.093166667
246176,0.722924044,560,0.093333333
84575,0.722609147,561,0.0935
109830,0.722261701,562,0.093666667
194725,0.72170708,563,0.093833333
260011,0.7216785,564,0.094
329159,0.721542931,565,0.094166667
471694,0.721501861,566,0.094333333
479407,0.720835466,567,0.0945
106329,0.72006354,568,0.094666667
403086,0.719693465,569,0.094833333
45400,0.719550298,570,0.095
216795,0.719480455,571,0.095166667
196559,0.718805941,572,0.095333333
113235,0.718211755,573,0.0955
131238,0.717502433,574,0.095666667
43872,0.7170375,575,0.095833333
350805,0.71695779,576,0.096
520431,0.716472502,577,0.096166667
207185,0.716471274,578,0.096333333
323112,0.716138835,579,0.0965
426280,0.715782815,580,0.096666667
261344,0.715751804,581,0.096833333
103495,0.715354929,582,0.097
87748,0.715345372,583,0.097166667
209740,0.715162612,584,0.097333333
533594,0.715106949,585,0.0975
154229,0.714833565,586,0.097666667
387937,0.714542428,587,0.097833333
238664,0.714336008,588,0.098
430160,0.714207412,589,0.098166667
70609,0.714029768,590,0.098333333
431070,0.714002603,591,0.0985
373109,0.713560745,592,0.098666667
362095,0.713440154,593,0.098833333
188281,0.713262226,594,0.099
354952,0.713233157,595,0.099166667
582527,0.712947798,596,0.099333333
474788,0.712777728,597,0.0995
209790,0.712084419,598,0.099666667
164620,0.712017214,599,0.099833333
326864,0.711966027,600,0.1
336239,0.711415907,601,0.100166667
14602,0.711364603,602,0.100333333
500521,0.711251758,603,0.1005
513045,0.710383079,604,0.100666667
115987,0.710149881,605,0.100833333
553426,0.710025938,606,0.101
151052,0.709842559,607,0.101166667
6235,0.709470729,608,0.101333333
373691,0.70938394,609,0.1015
269431,0.709316694,610,0.101666667
174966,0.708658429,611,0.101833333
134507,0.708376308,612,0.102
452717,0.708316875,613,0.102166667
13033,0.707844432,614,0.102333333
78900,0.707833038,615,0.1025
99225,0.707630868,616,0.102666667
476287,0.707592259,617,0.102833333
82530,0.707489824,618,0.103
442999,0.706828182,619,0.103166667
510927,0.70635113,620,0.103333333
260468,0.706222168,621,0.1035
339335,0.705690882,622,0.103666667
415291,0.704670738,623,0.103833333
255698,0.703611471,624,0.104
261475,0.702966053,625,0.104166667
596537,0.702668241,626,0.104333333
126334,0.702474518,627,0.1045
480575,0.701759534,628,0.104666667
265954,0.701713428,629,0.104833333
50124,0.701677409,630,0.105
298188,0.701608247,631,0.105166667
405649,0.701143621,632,0.105333333
511789,0.701023246,633,0.1055
72140,0.700331009,634,0.105666667
427624,0.700120948,635,0.105833333
389905,0.70007275,636,0.106
213090,0.69993917,637,0.106166667
142412,0.69988823,638,0.106333333
577873,0.69956836,639,0.1065
450487,0.699329292,640,0.106666667
87174,0.698951122,641,0.106833333
58053,0.698856587,642,0.107
583678,0.69857462,643,0.107166667
364705,0.698217471,644,0.107333333
157018,0.697583097,645,0.1075
74510,0.697275095,646,0.107666667
393645,0.697266765,647,0.107833333
78310,0.697209557,648,0.108
142094,0.696751131,649,0.108166667
375343,0.696589298,650,0.108333333
362570,0.696564831,651,0.1085
